route_id,bus_details,segment_sequence,start_stop_id,end_stop_id,start_stop_name,start_lat,start_lon,end_stop_name,end_lat,end_lon,segment_id
1102,19B-Towards-Kelambakkam,7,4006,4007,SRP_TOOLS,12.978618,80.252599,IGP,12.972633,80.250207,4006_4007
1102,19B-Towards-Kelambakkam,8,4007,4008,IGP,12.972633,80.250207,KANDANCHAVADI,12.965094,80.247394,4007_4008
1102,19B-Towards-Kelambakkam,9,4008,4009,KANDANCHAVADI,12.965094,80.247394,PERUNGUDI,12.959519,80.244946,4008_4009
1102,19B-Towards-Kelambakkam,10,4009,4010,PERUNGUDI,12.959519,80.244946,THURAIPAKKAM,12.951706,80.241742,4009_4010
1102,19B-Towards-Kelambakkam,11,4010,4011,THURAIPAKKAM,12.951706,80.241742,JAIN_COLL,12.946553,80.239864,4010_4011
1102,19B-Towards-Kelambakkam,12,4011,4012,JAIN_COLL,12.946553,80.239864,METTUKUPPAM,12.93919,80.235615,4011_4012
1102,19B-Towards-Kelambakkam,13,4012,4013,METTUKUPPAM,12.93919,80.235615,PTC_QUARTRES,12.934222,80.23321,4012_4013
1102,19B-Towards-Kelambakkam,14,4013,4014,PTC_QUARTRES,12.934222,80.23321,OKKIYAMPET,12.925828,80.231061,4013_4014
1102,19B-Towards-Kelambakkam,15,4014,4015,OKKIYAMPET,12.925828,80.231061,TCS_KARAPAKKAM,12.919613,80.230232,4014_4015
1102,19B-Towards-Kelambakkam,16,4015,4016,TCS_KARAPAKKAM,12.919613,80.230232,KARAPAKKAM,12.913367,80.229376,4015_4016
1102,19B-Towards-Kelambakkam,17,4016,4017,KARAPAKKAM,12.913367,80.229376,ACCENTURE,12.906031,80.228347,4016_4017
1102,19B-Towards-Kelambakkam,18,4017,4018,ACCENTURE,12.906031,80.228347,SHOZHINGANALLUR,12.898795,80.22792,4017_4018
1102,19B-Towards-Kelambakkam,19,4018,4019,SHOZHINGANALLUR,12.898795,80.22792,AAVIN,12.89352,80.22764,4018_4019
1102,19B-Towards-Kelambakkam,20,4019,4020,AAVIN,12.89352,80.22764,PONNIAMMAN,12.885759,80.226951,4019_4020
1102,19B-Towards-Kelambakkam,21,4020,4021,PONNIAMMAN,12.885759,80.226951,KUMARAN_NAGAR,12.877922,80.226957,4020_4021
1102,19B-Towards-Kelambakkam,22,4021,4022,KUMARAN_NAGAR,12.877922,80.226957,SATHYABAMA_UNIVERSITY,12.87207,80.226777,4021_4022
1102,19B-Towards-Kelambakkam,23,4022,4023,SATHYABAMA_UNIVERSITY,12.87207,80.226777,SEMMANCHERY,12.85971,80.226528,4022_4023
1102,19B-Towards-Kelambakkam,24,4023,4024,SEMMANCHERY,12.85971,80.226528,NAVALUR,12.84493,80.226769,4023_4024
1102,19B-Towards-Kelambakkam,25,4024,4025,NAVALUR,12.84493,80.226769,EGATTUR,12.836745,80.228448,4024_4025
1102,19B-Towards-Kelambakkam,26,4025,4026,EGATTUR,12.836745,80.228448,SIRUSERI,12.832681,80.229115,4025_4026
1102,19B-Towards-Kelambakkam,27,4026,4027,SIRUSERI,12.832681,80.229115,VANIYAMCHAVADI,12.825992,80.231447,4026_4027
1102,19B-Towards-Kelambakkam,28,4027,4028,VANIYAMCHAVADI,12.825992,80.231447,KAZHIPATTUR,12.81901,80.230531,4027_4028
1102,19B-Towards-Kelambakkam,29,4028,4029,KAZHIPATTUR,12.81901,80.230531,POO_COMPANY,12.81099,80.228124,4028_4029
1102,19B-Towards-Kelambakkam,30,4029,4030,POO_COMPANY,12.81099,80.228124,HINDUSTAN_COLLEGE,12.801012,80.22363,4029_4030
1102,19B-Towards-Kelambakkam,31,4030,4031,HINDUSTAN_COLLEGE,12.801012,80.22363,KELAMBAKKAM,12.786357,80.221931,4030_4031
1405,500-Tambaram to Chengelpet,1,4096,4097,Irumbuliyur,12.916638,80.106802,Erikarai,12.90874,80.098609,4096_4097
1405,500-Tambaram to Chengelpet,2,4097,4098,Erikarai,12.90874,80.098609,Perungalathur,12.905657,80.096009,4097_4098
1405,500-Tambaram to Chengelpet,3,4098,4099,Perungalathur,12.905657,80.096009,Iraniamma_ Koil,12.89711,80.08939,4098_4099
1405,500-Tambaram to Chengelpet,4,4099,4100,Iraniamma_ Koil,12.89711,80.08939,Vandaloor_Gate,12.892971,80.086472,4099_4100
1405,500-Tambaram to Chengelpet,5,4100,4101,Vandaloor_Gate,12.892971,80.086472,Vandaloor_Zoo,12.880858,80.080972,4100_4101
1405,500-Tambaram to Chengelpet,6,4101,4102,Vandaloor_Zoo,12.880858,80.080972,Urapakkam_School,12.865798,80.075032,4101_4102
1405,500-Tambaram to Chengelpet,7,4102,4103,Urapakkam_School,12.865798,80.075032,Urapakkam_Tea_Kadai,12.861996,80.073506,4102_4103
1405,500-Tambaram to Chengelpet,8,4103,4104,Urapakkam_Tea_Kadai,12.861996,80.073506,Guduvanchery_EB,12.850806,80.065477,4103_4104
1405,500-Tambaram to Chengelpet,9,4104,4105,Guduvanchery_EB,12.850806,80.065477,Guduvanchery,12.84548,80.061448,4104_4105
1405,500-Tambaram to Chengelpet,10,4105,4106,Guduvanchery,12.84548,80.061448,Srinivasapuram,12.83978,80.055552,4105_4106
1405,500-Tambaram to Chengelpet,11,4106,4107,Srinivasapuram,12.83978,80.055552,Thailavaram,12.830435,80.045687,4106_4107
1405,500-Tambaram to Chengelpet,12,4107,4108,Thailavaram,12.830435,80.045687,VPT/Valliammai/SRM,12.826044,80.041139,4107_4108
1405,500-Tambaram to Chengelpet,13,4108,4109,VPT/Valliammai/SRM,12.826044,80.041139,SRM_Potheri,12.81978,80.03666,4108_4109
1405,500-Tambaram to Chengelpet,14,4109,4110,SRM_Potheri,12.81978,80.03666,Sivanandha_Gurukulam,12.814616,80.033016,4109_4110
1405,500-Tambaram to Chengelpet,15,4110,4111,Sivanandha_Gurukulam,12.814616,80.033016,Kattankulathur,12.808806,80.029261,4110_4111
1405,500-Tambaram to Chengelpet,16,4111,4112,Kattankulathur,12.808806,80.029261,Maraimalai_Nagar,12.799597,80.023356,4111_4112
1405,500-Tambaram to Chengelpet,17,4112,4113,Maraimalai_Nagar,12.799597,80.023356,Peramanur/Saamiyar_Gate,12.794314,80.019874,4112_4113
1405,500-Tambaram to Chengelpet,18,4113,4114,Peramanur/Saamiyar_Gate,12.794314,80.019874,Tansi,12.78936,80.01679,4113_4114
1405,500-Tambaram to Chengelpet,19,4114,4115,Tansi,12.78936,80.01679,Ford,12.78717,80.01541,4114_4115
1405,500-Tambaram to Chengelpet,20,4115,4116,Ford,12.78717,80.01541,Kilekarni,12.776962,80.010642,4115_4116
1405,500-Tambaram to Chengelpet,21,4116,4117,Kilekarni,12.776962,80.010642,Malrosapuram,12.77034,80.00755,4116_4117
1405,500-Tambaram to Chengelpet,22,4117,4118,Malrosapuram,12.77034,80.00755,Singa_Perumal_Kovil,12.76102,80.00363,4117_4118
1405,500-Tambaram to Chengelpet,23,4118,4119,Singa_Perumal_Kovil,12.76102,80.00363,Thirutheri,12.75583,80.00191,4118_4119
1405,500-Tambaram to Chengelpet,24,4119,4120,Thirutheri,12.75583,80.00191,Sathya_nagar,12.7498,79.99774,4119_4120
1405,500-Tambaram to Chengelpet,25,4120,4121,Sathya_nagar,12.7498,79.99774,Mahindra_City,12.743226,79.992812,4120_4121
1405,500-Tambaram to Chengelpet,26,4121,4122,Mahindra_City,12.743226,79.992812,Paranur_RTO,12.73812,79.98859,4121_4122
1405,500-Tambaram to Chengelpet,27,4122,4123,Paranur_RTO,12.73812,79.98859,Rajakulipettai,12.717467,79.981123,4122_4123
1405,500-Tambaram to Chengelpet,28,4123,4124,Rajakulipettai,12.717467,79.981123,Pulipakkam,12.711506,79.978922,4123_4124
1405,500-Tambaram to Chengelpet,29,4124,4125,Pulipakkam,12.711506,79.978922,Chengalpattu_Bypass,12.699921,79.968633,4124_4125
1405,500-Tambaram to Chengelpet,30,4125,4126,Chengalpattu_Bypass,12.699921,79.968633,Old_Chengalpet,12.697015,79.976733,4125_4126
1405,500-Tambaram to Chengelpet,31,4126,4127,Old_Chengalpet,12.697015,79.976733,New_Chengalpet,12.691175,79.980791,4126_4127
1406,500-Chengelpet to Tambaram,1,4128,4129,New_Chengalpet,12.691175,79.980791,Old_Chengalpet,12.696929,79.976735,4128_4129
1406,500-Chengelpet to Tambaram,2,4129,4130,Old_Chengalpet,12.696929,79.976735,Chengalpattu_Bypass,12.699907,79.968312,4129_4130
1406,500-Chengelpet to Tambaram,3,4130,4131,Chengalpattu_Bypass,12.699907,79.968312,Pulipakkam,12.711528,79.978754,4130_4131
1406,500-Chengelpet to Tambaram,4,4131,4132,Pulipakkam,12.711528,79.978754,Rajakulipettai,12.71653,79.98061,4131_4132
1406,500-Chengelpet to Tambaram,5,4132,4133,Rajakulipettai,12.71653,79.98061,Paranur_RTO,12.73791,79.98805,4132_4133
1406,500-Chengelpet to Tambaram,6,4133,4134,Paranur_RTO,12.73791,79.98805,Mahindra_City,12.74387,79.99268,4133_4134
1406,500-Chengelpet to Tambaram,7,4134,4135,Mahindra_City,12.74387,79.99268,Sathya_nagar,12.75013,79.99783,4134_4135
1406,500-Chengelpet to Tambaram,8,4135,4136,Sathya_nagar,12.75013,79.99783,Thirutheri,12.754956,80.001041,4135_4136
1406,500-Chengelpet to Tambaram,9,4136,4137,Thirutheri,12.754956,80.001041,Singaperumal_Kovil,12.760952,80.003396,4136_4137
1406,500-Chengelpet to Tambaram,10,4137,4138,Singaperumal_Kovil,12.760952,80.003396,Malrosapuram,12.7707,80.00738,4137_4138
1406,500-Chengelpet to Tambaram,11,4138,4139,Malrosapuram,12.7707,80.00738,Kilekarni,12.77686,80.01012,4138_4139
1406,500-Chengelpet to Tambaram,12,4139,4140,Kilekarni,12.77686,80.01012,Ford,12.78709,80.01505,4139_4140
1406,500-Chengelpet to Tambaram,13,4140,4141,Ford,12.78709,80.01505,Tansi,12.790542,80.017038,4140_4141
1406,500-Chengelpet to Tambaram,14,4141,4142,Tansi,12.790542,80.017038,Peramanur,12.79488,80.01985,4141_4142
1406,500-Chengelpet to Tambaram,15,4142,4143,Peramanur,12.79488,80.01985,Maraimalai_Nagar,12.799837,80.023155,4142_4143
1406,500-Chengelpet to Tambaram,16,4143,4144,Maraimalai_Nagar,12.799837,80.023155,Kattankulathur,12.809058,80.02917,4143_4144
1406,500-Chengelpet to Tambaram,17,4144,4145,Kattankulathur,12.809058,80.02917,Sivanandha_Gurukulam,12.814611,80.032767,4144_4145
1406,500-Chengelpet to Tambaram,18,4145,4146,Sivanandha_Gurukulam,12.814611,80.032767,SRM_Potheri,12.820195,80.036704,4145_4146
1406,500-Chengelpet to Tambaram,19,4146,4147,SRM_Potheri,12.820195,80.036704,VPT/Valliammai/SRM,12.826999,80.041703,4146_4147
1406,500-Chengelpet to Tambaram,20,4147,4148,VPT/Valliammai/SRM,12.826999,80.041703,Thailavaram,12.83087,80.045908,4147_4148
1406,500-Chengelpet to Tambaram,21,4148,4149,Thailavaram,12.83087,80.045908,Srinivasapuram,12.8403,80.05569,4148_4149
1406,500-Chengelpet to Tambaram,22,4149,4150,Srinivasapuram,12.8403,80.05569,Guduvanchery,12.845288,80.060994,4149_4150
1406,500-Chengelpet to Tambaram,23,4150,4151,Guduvanchery,12.845288,80.060994,Guduvanchery_EB,12.851341,80.065607,4150_4151
1406,500-Chengelpet to Tambaram,24,4151,4152,Guduvanchery_EB,12.851341,80.065607,Urapakkam_Tea_ Kadai,12.862166,80.073404,4151_4152
1406,500-Chengelpet to Tambaram,25,4152,4153,Urapakkam_Tea_ Kadai,12.862166,80.073404,Urapakkam_School,12.868251,80.075748,4152_4153
1406,500-Chengelpet to Tambaram,26,4153,4154,Urapakkam_School,12.868251,80.075748,Vandalur_Zoo ,12.880288,80.080472,4153_4154
1406,500-Chengelpet to Tambaram,27,4154,4155,Vandalur_Zoo ,12.880288,80.080472,Vandaloor_Gate,12.89351,80.08641,4154_4155
1406,500-Chengelpet to Tambaram,28,4155,4156,Vandaloor_Gate,12.89351,80.08641,Iraniamman_koil,12.897431,80.089383,4155_4156
1406,500-Chengelpet to Tambaram,29,4156,4157,Iraniamman_koil,12.897431,80.089383,Perungalathur,12.906183,80.095984,4156_4157
1406,500-Chengelpet to Tambaram,30,4157,4158,Perungalathur,12.906183,80.095984,Erikarai,12.909051,80.098383,4157_4158
1406,500-Chengelpet to Tambaram,31,4158,4159,Erikarai,12.909051,80.098383,Irumbuliyur,12.91724,80.10745,4158_4159
1406,500-Chengelpet to Tambaram,32,4159,4160,Irumbuliyur,12.91724,80.10745,Tambaram_West,12.926966,80.11798,4159_4160
333,5C -Towards-Broadway,1,1505,1506,TARAMANI,12.986035,80.241066,MADHYAKAILASH,13.006626,80.246391,1505_1506
333,5C -Towards-Broadway,2,1506,1508,MADHYAKAILASH,13.006626,80.246391,KOTTURPURAM,13.00762,80.24026,1506_1508
333,5C -Towards-Broadway,3,1508,649,KOTTURPURAM,13.00762,80.24026,ADYAR_GATE,13.02927,80.24775,1508_649
333,5C -Towards-Broadway,4,649,201,ADYAR_GATE,13.02927,80.24775,C.I.T._COLONY,13.04153,80.25868,649_201
333,5C -Towards-Broadway,5,201,578,C.I.T._COLONY,13.04153,80.25868,WESLEY_H.S.,13.05923,80.26554,201_578
333,5C -Towards-Broadway,6,578,527,WESLEY_H.S.,13.05923,80.26554,P.O.R._SONS,13.07061,80.2739,578_527
333,5C -Towards-Broadway,7,527,480,P.O.R._SONS,13.07061,80.2739,CENTRAL,13.08186,80.27628,527_480
333,5C -Towards-Broadway,8,480,1510,CENTRAL,13.08186,80.27628,BROADWAY,13.08664,80.28385,480_1510
444,5C -Towards-Taramani,1,1511,520,BROADWAY,13.088305,80.282935,CENTRAL,13.08136,80.27547,1511_520
444,5C -Towards-Taramani,2,520,527,CENTRAL,13.08136,80.27547,P.O.R._SONS,13.07061,80.2739,520_527
444,5C -Towards-Taramani,3,527,578,P.O.R._SONS,13.07061,80.2739,WESLEY_H.S.,13.05923,80.26554,527_578
444,5C -Towards-Taramani,4,578,1509,WESLEY_H.S.,13.05923,80.26554,C.I.T._COLONY,13.041421,80.258707,578_1509
444,5C -Towards-Taramani,5,1509,649,C.I.T._COLONY,13.041421,80.258707,ADYAR_GATE,13.02927,80.24775,1509_649
444,5C -Towards-Taramani,6,649,1508,ADYAR_GATE,13.02927,80.24775,KOTTURPURAM,13.00762,80.24026,649_1508
444,5C -Towards-Taramani,7,1508,1512,KOTTURPURAM,13.00762,80.24026,KASTHURBAI_NAGAR,13.006164,80.247433,1508_1512
